"Master_Incident_Number2","Date","Time_First_Unit_Assigned","All_Calls","Unit_Assigned","Stop","Arrest","year"
"210605SA00141",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00172",2021-06-05,2021-06-05,"All Calls","Unit Assigned",NA,NA,2021
"210605SA00226",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00253",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00255",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00427",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00694",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00719",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00725",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA00805",2021-06-05,2021-06-05,"All Calls","Unit Assigned",NA,NA,2021
"210605SA01013",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01087",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01099",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01183",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01212",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01277",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01335",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01342",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01344",2021-06-05,2021-06-05,"All Calls","Unit Assigned",NA,NA,2021
"210605SA01414",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01444",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01449",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01459",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01473",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01471",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605SA01485",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210605TK00136",2021-06-05,NA,"All Calls",NA,NA,NA,2021
"210606SA00019",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00028",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00050",2021-06-06,2021-06-06,"All Calls","Unit Assigned",NA,NA,2021
"210606SA00084",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00091",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00097",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00100",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00116",2021-06-06,2021-06-06,"All Calls","Unit Assigned",NA,NA,2021
"210606SA00123",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00128",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00151",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00205",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00215",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00233",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00345",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00569",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00611",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00668",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00730",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00750",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00779",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00837",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00884",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA00956",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA01062",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA01095",2021-06-06,NA,"All Calls",NA,NA,NA,2021
"210606SA01101",2021-06-06,NA,"All Calls",NA,NA,NA,2021
