"Master_Incident_Number","Response_Date","Time_First_Unit_Assigned","All_Calls","Unit_Assigned","Stop","Arrest","year"
"210802GG01736",2021-08-02,NA,"All Calls",NA,NA,NA,2021
"210803GG00150",2021-08-03,NA,"All Calls",NA,NA,NA,2021
"210803GG01957",2021-08-03,NA,"All Calls",NA,NA,NA,2021
"210804GG02813",2021-08-04,2021-08-04,"All Calls","Unit Assigned",NA,NA,2021
"210805GG00007",2021-08-05,NA,"All Calls",NA,NA,NA,2021
"210805GG02147",2021-08-05,NA,"All Calls",NA,NA,NA,2021
"210805GG02736",2021-08-05,NA,"All Calls",NA,NA,NA,2021
"210805GG02807",2021-08-05,NA,"All Calls",NA,NA,NA,2021
"210807GG00091",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210807GG00108",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210807GG00423",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210807GG00620",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210807GG01685",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210807GG02216",2021-08-07,2021-08-07,"All Calls","Unit Assigned",NA,NA,2021
"210807GG02897",2021-08-07,NA,"All Calls",NA,NA,NA,2021
"210808GG02683",2021-08-08,NA,"All Calls",NA,NA,NA,2021
"210809GG00769",2021-08-09,NA,"All Calls",NA,NA,NA,2021
"210809GG01758",2021-08-09,NA,"All Calls",NA,NA,NA,2021
"210809GG02457",2021-08-09,NA,"All Calls",NA,NA,NA,2021
"210809GG02901",2021-08-09,NA,"All Calls",NA,NA,NA,2021
"210811GG00060",2021-08-11,NA,"All Calls",NA,NA,NA,2021
"210811GG00150",2021-08-11,NA,"All Calls",NA,NA,NA,2021
"210811GG02777",2021-08-11,NA,"All Calls",NA,NA,NA,2021
"210812GG00324",2021-08-12,NA,"All Calls",NA,NA,NA,2021
"210812GG02300",2021-08-12,NA,"All Calls",NA,NA,NA,2021
"210812GG02842",2021-08-12,NA,"All Calls",NA,NA,NA,2021
"210813GG02604",2021-08-13,NA,"All Calls",NA,NA,NA,2021
"210814GG00008",2021-08-13,NA,"All Calls",NA,NA,NA,2021
"210814GG00469",2021-08-14,NA,"All Calls",NA,NA,NA,2021
"210814GG02907",2021-08-14,NA,"All Calls",NA,NA,NA,2021
"210814GG03212",2021-08-14,NA,"All Calls",NA,NA,NA,2021
"210815GG00312",2021-08-15,NA,"All Calls",NA,NA,NA,2021
"210815GG00489",2021-08-15,NA,"All Calls",NA,NA,NA,2021
"210815GG01361",2021-08-15,NA,"All Calls",NA,NA,NA,2021
"210815GG02021",2021-08-15,NA,"All Calls",NA,NA,NA,2021
"210816GG00463",2021-08-16,NA,"All Calls",NA,NA,NA,2021
"210818GG00037",2021-08-18,NA,"All Calls",NA,NA,NA,2021
"210818GG01473",2021-08-18,NA,"All Calls",NA,NA,NA,2021
"210819GG01625",2021-08-19,NA,"All Calls",NA,NA,NA,2021
"210820GG00183",2021-08-20,NA,"All Calls",NA,NA,NA,2021
"210820GG02017",2021-08-20,NA,"All Calls",NA,NA,NA,2021
"210821GG00344",2021-08-21,NA,"All Calls",NA,NA,NA,2021
"210821GG02316",2021-08-21,NA,"All Calls",NA,NA,NA,2021
"210821GG02829",2021-08-21,NA,"All Calls",NA,NA,NA,2021
"210822GG02245",2021-08-22,NA,"All Calls",NA,NA,NA,2021
"210822GG02479",2021-08-22,NA,"All Calls",NA,NA,NA,2021
"210823GG02361",2021-08-23,NA,"All Calls",NA,NA,NA,2021
"210823GG02543",2021-08-23,NA,"All Calls",NA,NA,NA,2021
"210823GG02690",2021-08-23,NA,"All Calls",NA,NA,NA,2021
"210824GG00027",2021-08-24,NA,"All Calls",NA,NA,NA,2021
"210824GG00145",2021-08-24,NA,"All Calls",NA,NA,NA,2021
"210825GG00004",2021-08-25,NA,"All Calls",NA,NA,NA,2021
"210825GG02251",2021-08-25,NA,"All Calls",NA,NA,NA,2021
"210826GG00057",2021-08-26,NA,"All Calls",NA,NA,NA,2021
"210828GG01899",2021-08-28,NA,"All Calls",NA,NA,NA,2021
"210828GG02048",2021-08-28,2021-08-28,"All Calls","Unit Assigned",NA,NA,2021
"210828GG02437",2021-08-28,NA,"All Calls",NA,NA,NA,2021
"210829GG01957",2021-08-29,NA,"All Calls",NA,NA,NA,2021
